title,url,image,timestamp,category,kategori_pencarian
,https://www.detik.com/edu/detikpedia/d-8310098/kata-dosen-hubungan-internasional-indonesia-bisa-terseret-demo-iran,https://akcdn.detik.net.id/community/media/visual/2026/01/13/protes-anti-pemerintah-guncang-iran-ratusan-orang-tewas-1768285217825_43.jpeg?w=250&q=90,"Jumat, 16 Jan 2026 16:00 WIB",,perdagangan energi terbarukan
,https://www.detik.com/kalimantan/berita/d-8308391/dampak-demo-iran-bagi-indonesia-menurut-pakar-hubungan-internasional,https://akcdn.detik.net.id/community/media/visual/2026/01/13/protes-anti-pemerintah-guncang-iran-ratusan-orang-tewas-1768285218036_43.jpeg?w=250&q=90,"Kamis, 15 Jan 2026 11:30 WIB",,perdagangan energi terbarukan
,https://news.detik.com/berita/d-8308199/analisis-pakar-soal-dampak-ke-ri-jika-demo-di-iran-terus-berlanjut,https://akcdn.detik.net.id/community/media/visual/2026/01/13/protes-anti-pemerintah-guncang-iran-ratusan-orang-tewas-1768285217879_43.jpeg?w=250&q=90,"Kamis, 15 Jan 2026 09:04 WIB",,perdagangan energi terbarukan
,https://finance.detik.com/berita-ekonomi-bisnis/d-8302955/banjir-investasi-china-16-proyek-rp-36-t-masuk-indonesia,https://akcdn.detik.net.id/community/media/visual/2025/09/16/menko-perekonomian-airlangga-hartarto-1758022927965_43.jpeg?w=250&q=90,"Senin, 12 Jan 2026 11:20 WIB",,perdagangan energi terbarukan
,https://news.detik.com/kolom/d-8312596/air-jakarta-antara-krisis-tata-kelola-dan-jalan-transformasi,https://akcdn.detik.net.id/community/media/visual/2025/10/29/ilustrasi-air-bersih-1761709174262_43.jpeg?w=250&q=90,"Minggu, 18 Jan 2026 13:58 WIB",,tarif energi bersih
,https://finance.detik.com/berita-ekonomi-bisnis/d-8259870/prabowo-minta-pembangunan-hunian-dipercepat-alat-berat-ditambah,https://akcdn.detik.net.id/community/media/visual/2025/12/14/prabowo-panggil-sejumlah-menteri-ke-hambalang-bogor-jawa-barat-1765719028941_43.jpeg?w=250&q=90,"Senin, 15 Des 2025 08:02 WIB",,tarif energi bersih
,https://finance.detik.com/berita-ekonomi-bisnis/d-8236702/pemerintah-sebut-kondisi-ekonomi-masih-baik-baik-saja,https://akcdn.detik.net.id/community/media/visual/2025/07/29/menko-perekonomian-airlangga-hartarto-1753782634917_43.jpeg?w=250&q=90,"Senin, 01 Des 2025 06:25 WIB",,tarif energi bersih
,https://www.detik.com/sumbagsel/berita/d-8232735/rute-langsung-palembang-singapura-diyakini-buka-peluang-investasi,https://akcdn.detik.net.id/community/media/visual/2025/11/28/wali-kota-palembang-ratu-dewa-menerima-audiensi-dari-konsulat-jenderal-konjen-singapura-1764302138952_43.jpeg?w=250&q=90,"Jumat, 28 Nov 2025 12:30 WIB",,tarif energi bersih
,https://news.detik.com/kolom/d-8174521/babak-baru-perang-dagang-ketika-dunia-terjebak-di-antara-dua-raksasa,https://akcdn.detik.net.id/community/media/visual/2025/05/13/awalnya-saling-ngegas-tarif-tinggi-as-china-kini-melunak-1747105367012_43.jpeg?w=250&q=90,"Kamis, 23 Okt 2025 12:10 WIB",,tarif energi bersih
,https://finance.detik.com/berita-ekonomi-bisnis/d-8170831/india-brasil-makin-mesra-satukan-kekuatan-buat-lawan-trump,https://akcdn.detik.net.id/community/media/visual/2025/08/07/tarif-trump-mulai-berlaku-brasil-dan-india-digenjot-tarif-besar-besaran-1754563132624_43.jpeg?w=250&q=90,"Selasa, 21 Okt 2025 11:39 WIB",,tarif energi bersih
,https://finance.detik.com/berita-ekonomi-bisnis/d-8158930/kronologi-perang-dagang-as-dan-china-sejak-awal-2025,https://akcdn.detik.net.id/community/media/visual/2025/05/13/awalnya-saling-ngegas-tarif-tinggi-as-china-kini-melunak-1747105603072_43.jpeg?w=250&q=90,"Senin, 13 Okt 2025 17:48 WIB",,tarif energi bersih
,https://finance.detik.com/berita-ekonomi-bisnis/d-8155631/perang-tarif-berlanjut-china-kerek-biaya-pelabuhan-buat-kapal-as,https://akcdn.detik.net.id/community/media/visual/2025/05/13/awalnya-saling-ngegas-tarif-tinggi-as-china-kini-melunak-1747105366958_43.jpeg?w=250&q=90,"Sabtu, 11 Okt 2025 10:30 WIB",,tarif energi bersih
,https://www.detik.com/jatim/berita/d-8143877/5-rest-area-rekomendasi-di-jawa-timur-yang-nyaman-dan-lengkap,https://akcdn.detik.net.id/community/media/visual/2025/03/21/begini-persiapan-rest-area-km-43-tol-tangerang-merak-jelang-arus-mudik-1742558654129_43.jpeg?w=250&q=90,"Jumat, 03 Okt 2025 22:00 WIB",,tarif energi bersih
,https://www.detik.com/sulsel/makassar/d-8139755/15-capaian-hamzah-ahmad-5-bulan-pimpin-pdam-makassar-laba-miliaran-rupiah,https://akcdn.detik.net.id/community/media/visual/2025/10/01/plt-dirut-pdam-makassar-hamzah-ahmad-bersama-plt-direktur-keuangan-pdam-makassar-nanang-supriyatno-1759308609384_43.jpeg?w=250&q=90,"Rabu, 01 Okt 2025 15:54 WIB",,tarif energi bersih
,https://finance.detik.com/energi/d-8322249/ancaman-trump-ke-iran-bikin-harga-minyak-mendidih,https://akcdn.detik.net.id/community/media/visual/2025/06/16/iran-israel-memanas-trump-sebut-as-nggak-ikut-ikutan-1750046680052_43.jpeg?w=250&q=90,"Jumat, 23 Jan 2026 21:46 WIB",,volatilitas harga minyak
,https://www.detik.com/edu/detikpedia/d-8307182/apa-mata-uang-iran-ini-sebabnya-bisa-setara-0-euro,https://akcdn.detik.net.id/community/media/visual/2026/01/13/protes-anti-pemerintah-guncang-iran-ratusan-orang-tewas-1768285217825_43.jpeg?w=250&q=90,"Rabu, 14 Jan 2026 17:30 WIB",,volatilitas harga minyak
,https://finance.detik.com/energi/d-8297416/tambang-batu-bara-cs-sumbang-pnbp-rp-138-t-di-2025,https://akcdn.detik.net.id/community/media/visual/2025/08/11/bahlil-laporkan-kinerja-esdm-investasi-tembus-rp2258-t-1754905215155_43.jpeg?w=250&q=90,"Kamis, 08 Jan 2026 12:18 WIB",,volatilitas harga minyak
,https://finance.detik.com/bursa-dan-valas/d-8293393/ihsg-pecah-rekor-harga-bitcoin-lompat-usai-as-serang-venezuela,https://akcdn.detik.net.id/community/media/visual/2022/04/08/ihsg-ditutup-menguat_43.jpeg?w=250&q=90,"Selasa, 06 Jan 2026 06:30 WIB",,volatilitas harga minyak
,https://finance.detik.com/bursa-dan-valas/d-8292783/ihsg-tembus-rekor-di-tengah-konflik-as-venezuela,https://akcdn.detik.net.id/community/media/visual/2022/04/08/ihsg-ditutup-menguat-1_43.jpeg?w=250&q=90,"Senin, 05 Jan 2026 14:27 WIB",,volatilitas harga minyak
,https://finance.detik.com/berita-ekonomi-bisnis/d-8292544/venezuela-bergejolak-pemerintah-diminta-waspada-soal-dampak-ekonomi,https://akcdn.detik.net.id/community/media/visual/2026/01/03/trump-sebut-as-sukses-gempur-venezuela-1767439962151_43.jpeg?w=250&q=90,"Senin, 05 Jan 2026 12:40 WIB",,volatilitas harga minyak
,https://finance.detik.com/advertorial-news-block/d-8207940/dukungan-bank-indonesia-dorong-kain-ulos-dan-kopi-lintong-mendunia,https://akcdn.detik.net.id/community/media/visual/2025/11/12/tagsite-1762962444221_43.png?w=250&q=90,"Kamis, 13 Nov 2025 00:00 WIB",,volatilitas harga minyak
,https://finance.detik.com/energi/d-8182350/bbm-beretanol-jadi-solusi-hijau-kurangi-impor-dan-polusi-udara,https://akcdn.detik.net.id/community/media/visual/2025/10/03/ilustrasi-energi-1759496229744_43.png?w=250&q=90,"Selasa, 28 Okt 2025 15:25 WIB",,volatilitas harga minyak
,https://www.detik.com/sumut/bisnis/d-8160256/menguak-tabir-penolakan-etanol-bisnis-ataukah-kedaulatan-energi,https://akcdn.detik.net.id/community/media/visual/2025/10/14/presiden-dem-sumatera-utara-fahrozi-kanan-dok-pertamina-1760429792981_43.jpeg?w=250&q=90,"Selasa, 14 Okt 2025 15:29 WIB",,volatilitas harga minyak
,https://finance.detik.com/berita-ekonomi-bisnis/d-8152048/harga-emas-dunia-pecah-rekor-perak-hingga-platinum-kompak-ikutan,https://akcdn.detik.net.id/community/media/visual/2025/07/08/ilustrasi-logam-mulia-1751943271924_43.jpeg?w=250&q=90,"Kamis, 09 Okt 2025 08:25 WIB",,volatilitas harga minyak
,https://finance.detik.com/bursa-dan-valas/d-8321621/prediksi-ihsg-2026-bisa-tembus-10-000-atau-balik-ke-7-500,https://akcdn.detik.net.id/community/media/visual/2021/11/19/ihsg-ditutup-menguat-3_43.jpeg?w=250&q=90,"Jumat, 23 Jan 2026 16:24 WIB",,fluktuasi saham energi
,https://www.detik.com/jateng/bisnis/d-8317752/nilai-tukar-rupiah-melemah-1-dollar-berapa-rupiah-hari-ini,https://akcdn.detik.net.id/community/media/visual/2026/01/21/dolar-amerika-serikat-1768980188872_43.jpeg?w=250&q=90,"Rabu, 21 Jan 2026 14:26 WIB",,fluktuasi saham energi
,https://www.detik.com/sulsel/berita/d-8288240/apa-shio-2026-ini-simbol-lengkap-elemen-karakter-hingga-ramalannya,https://akcdn.detik.net.id/community/media/visual/2025/12/31/ilustrasi-shio-kuda-tahun-2026-1767180454482_43.jpeg?w=250&q=90,"Jumat, 02 Jan 2026 06:01 WIB",,fluktuasi saham energi
